Summary,Assignee,Reporter,Issue Type,Priority,Description,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"Add Sentiment data/widget to Current Events dashboard",,ahumphrey,Development,Highest,"Needs further definition by Marriott, but expect this to involve adding a new widget to the Current Events dashboard (pie chart) with sentiment data from Sprinklr API. Line chart over time - how execs used to seeing in reports today

Considerations:
- Design time to reconfigure the current dashboard UI/layout + design widget = XY hrs
- Dev time to test sample data from Sprinklr API & impact on current call limit = XY hrs
- Front and backend dev time to build out = XY hrs

Estimated timeline = X days",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IG posts in Owned & @mentioned IG posts in Earned Dashboards ",ahumphrey,ahumphrey,Development,Highest,"Client wants IG posts in Owned dashboard but also @mentioned IG posts for the Earned dashboard too. 

Considerations:
- Dev to test sample Sprinklr data to verify we can get the data and content stated in Sprinklr's latest documentation about what can be pulled from the new Graph API",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Remove profile image from Instagram posts",brodanoel,eerkmen,Development,Highest,"@Noel Broda As we're not getting the profile images and full names for the IG posts consistently:

1. Please remove the profile image altogether,
2. Conditionally display the full name if we have one.

@Alan Humphrey we'll see if we need any design changes here.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Owned: Implement Header filters",brodanoel,brodanoel,Development,Highest,"In Owned page, we should be able to filter Brands and Sources","05/Sep/18 9:53 am; brodanoel; @Alan Humphrey @Brian Weaver In Owned page we should be able to filter brands and sources, right?
How should we do it?
I'm seeing that in the header we should show the filtered brands, but I didn't see any way to filter them","05/Sep/18 9:58 am; bweaver; @Noel Broda @Alan Humphrey Yes, we're working on the best way to approach that. In the original wireframes, the header acted as a dropdown that took over the screen with a filter UI. That might be the way we go with it, but was exploring the option of putting those filters into the Settings page. Will keep you posted. 

Example below:

https://www.dropbox.com/s/06p1xzgwi0ui8f1/01-02-01_Dashboard_Owned_Feed_Filter_Brands.png?dl=0","05/Sep/18 10:07 am; eerkmen; @Alan Humphrey @Brian Weaver that's a bit more involved than what the current design suggested. If we're going with a detailed filtering system we might need to store that somewhere. Then the question will be, is the settings will be app-wide or just for the device that is displaying the owned feed?","05/Sep/18 10:11 am; bweaver; @Alan Humphrey @Emre Erkmen If we were to put the settings for Owned and Earned in the Settings page, then we would need to distinguish, in some way, that those settings apply to only those screens respectively. They would need to be distinguishable from app-wide settings, so we would have to figure out how to make that clear in the UI.","06/Sep/18 9:45 am; rwagner; @Alan Humphrey @Brian Weaver  A resolution on this issue is a blocker for dev. What is the best way to get a decision made? Thanks! ","06/Sep/18 10:46 am; bweaver; Including everyone so we're on the same page: @Noel Broda @Emre Erkmen @Alan Humphrey @Rich Wagner @Mark Van Der Hyde 

We just discussed the Owned and Earned 'settings', and how to implement them. They will be specific to each dashboard, so Owned settings will be controlled from the Owned dashboard, and Earned settings will be controlled from the Earned dashboard. Most likely we will have a filter icon in the header, or something similar. Clicking on that filter icon will open a modal. So we will be maintaining the same paradigm as the Create Event modal. Within that modal will be all the settings for the specific dashboard. 

We'll be providing new comps to illustrate this interaction and the settings modals for Owned and Earned. 

Rich, Alan, Mark, feel free to add anything I might have missed from our discussion.","06/Sep/18 11:01 am; ahumphrey; @Brian Weaver I think that covers it. We can jump on a call if there are still questions/concerns too. Thanks ","06/Sep/18 11:04 am; eerkmen; @Brian Weaver I understand that this will replace the current filter display in the header right?","06/Sep/18 11:06 am; bweaver; @Emre Erkmen Do you mean this?:

![image](https://user-images.githubusercontent.com/6143533/45166382-ddf00080-b1c4-11e8-8351-bd9591b3e36e.png)
","06/Sep/18 11:19 am; bweaver; @Emre Erkmen If you mean the filter dropdown that was in this wireframe comp  
https://www.dropbox.com/s/06p1xzgwi0ui8f1/01-02-01_Dashboard_Owned_Feed_Filter_Brands.png?dl=0 then yes, what I outlined above will replace this filtering system.

","06/Sep/18 11:20 am; eerkmen; @Brian Weaver yes exactly. ","06/Sep/18 11:22 am; bweaver; @Emre Erkmen ok cool, and, just to be clear, we will be keeping the Brands and Source displayed in the header:

https://user-images.githubusercontent.com/6143533/45166382-ddf00080-b1c4-11e8-8351-bd9591b3e36e.png","06/Sep/18 5:08 pm; bweaver; @Noel Broda @Emre Erkmen Here's the interaction and modal for the Owned settings, with a couple states. Let me know if there's anything that needs clarification. 
https://zpl.io/bzMMxDz
https://zpl.io/2jw0GvW
https://zpl.io/25r8Wwe
https://zpl.io/VDnZyqw",,,,,,,,,,,,,,,,,,,,,,,,,,
"Feed: Posts need to match comps",brodanoel,mvanderhyde,Development,Highest,"Pulling out of https://github.com/MAARK/mar-mlive-dashboard/issues/176#issuecomment-418744866

---

The posts need two sizes, one for images, one for text. They need to match comps
The posts need to work across spaces. So, the CE Exec Dashboard posts on TV, then the full live stream screen. 

@Brian Weaver will provide comps","05/Sep/18 1:20 pm; bweaver; @Mark Van Der Hyde @Noel Broda These were the two sizes we had specified for the Real-Time Feed: https://zpl.io/agNddM0

I realize that on the Executive Dashboard, the vertical space restricts the height of the two top posts in the right column. So, they end up being shorter than the feed posts. Thing is, I didn't want to change the height of the posts in the feed just so they could fit into the space on the ED. The image in the post ends up being really short and almost not worth showing. So, I don't know if we need to make the posts vertically responsive, or if we need to have more than two sizes. Just trying to figure how best to solve this issue.","13/Sep/18 5:39 pm; brodanoel; @Brian Weaver @Mark Van Der Hyde what if we keep all the feed animation/size/styles in this issue: https://github.com/MAARK/mar-mlive-dashboard/issues/176 ?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Provide the exact brand / account / channel structure",eerkmen,eerkmen,Development,Highest,"@Alan Humphrey, per 

https://www.dropbox.com/s/06p1xzgwi0ui8f1/01-02-01_Dashboard_Owned_Feed_Filter_Brands.png?dl=0 
and the charts in https://app.zeplin.io/project/5a9d7018aaaa927d56957a55/screen/5ad503d2d3adac460d5fa29f

we need a definitive list of brands and accounts. The data we need should have this information

```
Brand A
   @account1 / Twitter
   @account2 / Instagram
Brand B
   @account3 / Twitter
...
```

Do we have this available somewhere, or would you need to ask Marriott about that?

","06/Sep/18 9:17 am; ahumphrey; @Emre Erkmen I do have two documents that I referenced in ticket #209 (https://github.com/MAARK/mar-mlive-dashboard/issues/209#issuecomment-418368474), but I need the client to confirm what I have highlighted is correct or if it needs to be edited. I'll send a follow up.","06/Sep/18 9:43 am; rwagner; @Alan Humphrey This has become a blocker issue for dev. What is the ETA on this? Thanks.  ","06/Sep/18 9:47 am; ahumphrey; @Rich Wagner we have the document, but I will see if I can get comfirmation either today or tomorrow. Other point is there are more than the 30 brands we had originally mocked up, which has potential implications on the UI","11/Sep/18 8:50 am; ahumphrey; @Emre Erkmen @Rich Wagner See below link to the social accounts. NOTE: I had to piece this together from multiple documents, to be it in a more friendly format. It's about 90% complete but there may be half a dozen or so accounts added to this list by the end of the week:
https://www.dropbox.com/s/co56a08cpwsgg99/M-Live-Owned-Social-Accounts-AH-FINAL.xlsx?dl=0","11/Sep/18 8:56 am; eerkmen; @Alan Humphrey how does this relate to the wireframe? https://www.dropbox.com/s/06p1xzgwi0ui8f1/01-02-01_Dashboard_Owned_Feed_Filter_Brands.png?dl=0 How should they be categorized? I've created the tables as Account Category (parent) -> Account (child), would that fit into our structure?","13/Sep/18 4:06 pm; ahumphrey; @Emre Erkmen Find below the drop box link to the final list of social accounts reviewed with the client and in the format we discussed earlier: 
https://www.dropbox.com/s/ljhivpy5gsxb8zi/copy%20of%20m-live-owned-social-accounts-ah-final-v2.xlsx?dl=0

This should give you what you need, but you may need to connect with @Brian Weaver to make sure the proposed filter UI he has been working on works for this (I think it should) in ticket #229.  Specifically this mock up: https://zpl.io/VDnZyqw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clarify earned data terms and time frames",eerkmen,eerkmen,Development,Highest,"@Alan Humphrey 

1. What is the time frame for:
a. Recent Brand Advocates (i.e. just exactly when is recent?)
b. Engagement Over Reach (i.e. should the data be sampled from all time?)

2. How should we calculate the flaming numbers for RBA?

3. Exactly what does 'Engagment' mean for EOR?

Could you please point out the documentation if we have one, or if we don't, please advise.

Thanks!","06/Sep/18 12:21 pm; ahumphrey; Hey @Emre Erkmen connected with Mike D on some of the above. See below:
1. (a) This would be the most recent posters that meet the score threshold we establish. Most recent posts would be on the left and (b) @michaeledowd can address as part of ticket #214 
2. I believe we settled on using Sprinklr's `Influencer Score` metric per ticket #206. @michaeledowd please let us know if you disagree based on Emre's feedback on what that score provides.
3. @michaeledowd will be addressing per ticket #214 ","11/Sep/18 8:33 am; rwagner; @michaeledowd Can you address the above ASAP? ","11/Sep/18 9:11 am; ; @Rich Wagner @Emre Erkmen I have addressed 1 and 3 in ticket #214.

I agree with @Alan Humphrey's assessment on point 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Events: Initial state shows 'no data' instead of loading",bweaver,mvanderhyde,Development,Highest,"The 'no data' state from https://github.com/MAARK/mar-mlive-dashboard/issues/157#issuecomment-419719216 shows when an event is opening. I think we need some kind of a loading state.

Via @Emre Erkmen 
> Do you refer to the 'empty state' when we are loading the data for the event or something specific to the map chart? If former, we don't have a state to display for loading that would hide the empty charts, but I think we can use the one from the events list?","28/Sep/18 9:28 am; eerkmen; @Brian Weaver reminder ^^^","28/Sep/18 9:54 am; bweaver; @Emre Erkmen We're using a circular pre-loading animation when we first load the Events page, right? I think, when clicking into a specific Event, we could use that loading animation on each 'card' as the page loads the data.","02/Oct/18 2:59 pm; brodanoel; @Brian Weaver deployed!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List of EID admins for M Live Dashboards",eerkmen,ahumphrey,Development,Highest,"@Emre Erkmen @Rich Wagner The EIDs below are the only Marriott employees who should have the ability to create events, customize the dashboards etc. Anyone with an EID still has the ability to view a link sent from one of these people, but only the EIDs below should have admin access. Let me know if you need anything else or need to discuss. 

**HQ:**
- Matthew Glick: `mglic851`
- Max Lang: `mblan423`
- Katie Gantt: `krgan685`
- Aynat Ravin: `aravi844`
- Marissa Sherman: `msher196`
- Adam Kravitz: `akrav275`
 
**CALA:**
- Dylan Ellsworth: `ddell806`
- Jennifer Gonzales: `jrami876`
 
**EUROPE:**
- Cecilia Giraud: `cgira145`
- Giulia Parati: `gpara104`
 
**MEA:**
- Virginie Liddawi: `vlidd042`
- Aoife O’Donovan: `aaodo028`
 
**APAC:**
- Jake Walker: `jwalk702`
- Joyce Lui: `klui165`","20/Sep/18 2:50 pm; eerkmen; @Alan Humphrey will the remaining users be able to see the event list? Or the newspanel? Or will they be just limited to the event details?

If only the last one, we need a simple screen to show if a user is unauthorized. This is required because of the way SSO login works. The scenario is:

1. User goes to https://mlivedashboard.com
2. User not found, and redirect to the Marriott SSO screen
3. User logs in as a regular (not admin, unauthorized) user
4. User is redirected to https://mlivedashboard.com
5. We detect that user has not enough privileges to be listed the events and redirected to SSO
6. Marriott SSO sees the cookie and redirects the user to us without asking for new credentials
7. Infinite loop to 5

So we need a screen to be displayed in between 5 and 6, breaking the redirect loop.","21/Sep/18 10:04 am; ahumphrey; @Emre Erkmen thanks for the quick chat. Here's a short recap of what we discussed:
1. Anyone who isn't on the approved admin list can only view shared dashboard links sent by an admin
2. If a non-admin happened to arrive at https://mlivedashboard.com, after inputting their EID credentials, they would get an error message saying something like Administrator credentials are required to access this screen.

@Brian Weaver could you provide a simple comp for @Emre Erkmen for point 2 above please? Thanks","21/Sep/18 10:07 am; bweaver; @Alan Humphrey sure, I'll put something together for that","24/Sep/18 5:00 am; eerkmen; @Alan Humphrey, @Mark Van Der Hyde I see these users in staging, which of them should be admins and which should be regular users for you to test efficiently?

```
gwash368
bdoe344
tdoe100
schau742
adoe361
```
","24/Sep/18 8:25 am; ahumphrey; @Emre Erkmen those EIDs look like our vendor EIDs at Maark, at least a couple of them are. @Mark Van Der Hyde can you confirm if these are all Maark EIDs?","24/Sep/18 8:40 am; eerkmen; @Alan Humphrey @Mark Van Der Hyde sorry maybe I wasn't clear enough. These are just the users in staging, and I'll be deploying to staging soon for you to test. I was meaning to ask how should I configure these users to make you testing easier.","24/Sep/18 8:44 am; ahumphrey; @Emre Erkmen Ohhh I see. I'm not sure... I think this is something @Mark Van Der Hyde should advise on. I only have the credentials for the tdoe EID. ","24/Sep/18 9:15 am; eerkmen; @Brian Weaver any news on the unauthorized screen?","24/Sep/18 9:20 am; bweaver; @Emre Erkmen I'm looking at that now, just seeing what's needed 
@Alan Humphrey I'm assuming it would look something like the current error message, except the wording of the error message would be different:

![image](https://user-images.githubusercontent.com/6143533/45954426-022c4980-bfdb-11e8-86f7-c6bee0abd39c.png)

Let me know if I'm understanding that correctly
","24/Sep/18 11:38 am; ahumphrey; @Brian Weaver yes I think that's right","24/Sep/18 11:59 am; bweaver; @Alan Humphrey ok thanks
@Emre Erkmen in that case, do you need a comp of that, or can you refer to the existing way of handling error messages in the login screen as posted above? And the error message would read ```Administrator credentials are required to access this screen```","24/Sep/18 12:15 pm; eerkmen; @Brian Weaver our error messages are just dismissable flash cards. This is a stand alone screen that will contain just that message and a login button.

I can try something out and you can let me know if you need changes. ","26/Sep/18 7:05 am; eerkmen; @Alan Humphrey this is ready to test in staging. All users are admins in staging, other than `adoe361` (pass is the same, `2018sept`) which should only be able to see the shared events.","26/Sep/18 11:26 am; ahumphrey; Hey @Emre Erkmen. Tested this out and it worked well. Quick question:
- After receiving the new error message screen (using adoe361), when I clicked on the `LOGIN` button below the message it doesn't do anything. Should this take you back to the EID login screen?

![image](https://user-images.githubusercontent.com/35970545/46090562-84199f80-c1a0-11e8-830f-a443a412db04.png)
","27/Sep/18 4:56 am; eerkmen; @Alan Humphrey it should be redirecting to `/login` which in turn should redirect to the Marriott SSO. Are you sure nothing happens or is it just that Marriott SSO return you quickly back assuming you're already logged in. If the former I should ask Andrei about how to logout from the SSO before doing that.","27/Sep/18 8:20 am; ahumphrey; @Emre Erkmen Here's what I'm seeing: http://recordit.co/BTX2hVncRv

I can't get back to the login screen to either try logging in again or use another EID. Basically stuck on this page","27/Sep/18 8:30 am; eerkmen; @Alan Humphrey yep it looks like it is getting the same user from the MSSO immediately. Will look into that.","28/Sep/18 5:22 pm; eerkmen; @Alan Humphrey I made admins from whichever users that have logged in so far from the list above. As we don't have a method to create non-logged-in users yet (because we use the info from the SSO response), I had to use the existing ones. I also added Mark and Mike to the admins list.

These are the users that haven't logged in yet:
```
mblan423
msher196
ddell806
jrami876
cgira145
gpara104
vlidd042
aaodo028
jwalk702
```

Here's the latest status of all the users we have: (those with access 255 are admins as you might guess)

![image](https://user-images.githubusercontent.com/1096880/46234015-8f75f200-c37d-11e8-965e-ea93244dfb68.png)

Please let me know if that's alright and maybe check with the client if you find it necessary. I'll try to find a safe way to add non existing users in the mean time.
","15/Oct/18 3:01 pm; ahumphrey; Hey @Emre Erkmen client has asked we add a couple of other EID users to the admin list:
- Fernando Perez Iago: `fpere273`
- Sandra Pimentel: `shpim308` 

Can you confirm when this has been done (Sandra should have logged in already but not sure about Fernando). Did you figure a way to create admins from non-logged in users or is that still being figured out? Thanks","16/Oct/18 6:54 am; eerkmen; @Alan Humphrey done.

![image](https://user-images.githubusercontent.com/1096880/47011615-087d9380-d14b-11e8-8a8f-e8dd1a4952f2.png)
","16/Oct/18 8:33 am; ahumphrey; Great, thanks.","29/Nov/18 1:54 pm; ahumphrey; Hey @Emre Erkmen 
Can we get these people added to the admin list. We need this done today ahead of some big effort they are pushing as of early tomorrow morning.
- Mark DelRosario: mdelr044
- Charlotte Small: csmal642
- Liz Rosario: lrosa172 
- Shannon Aronson: saron151
- Bindu Gupta: bgupt530
- Aditi Baid: abaid151

Thanks","29/Nov/18 2:02 pm; eerkmen; @Alan Humphrey done. Here's the last state:

<img width='442' alt='image' src='https://user-images.githubusercontent.com/1096880/49245114-755e9b80-f422-11e8-8290-23ebd2784d95.png'>
","29/Nov/18 4:51 pm; ahumphrey; Confirmed.. thanks ","19/Dec/18 12:01 pm; ahumphrey; Hey @Emre Erkmen, can you remove the following EID from the admin list:
Marissa Sherman: `msher196`

Thanks ","21/Dec/18 9:25 am; eerkmen; @Alan Humphrey sorry only saw this today. It's done.","21/Dec/18 9:38 am; ahumphrey; No worries, thanks!","06/Feb/19 2:37 pm; ahumphrey; Hey @Emre Erkmen. When you get a chance could you add the following person to list of Current Events users with admin rights. He's a new hire and starts next Wednesday, so looking to have him set up before he starts. Thanks

John Feehan: `jfeeh686`","07/Feb/19 11:10 am; eerkmen; @Alan Humphrey he's an admin now.","07/Feb/19 12:09 pm; ahumphrey; @Emre Erkmen perfect, thanks for the update!","07/Mar/19 11:55 am; ahumphrey; Hey @Emre Erkmen just got a note saying that Matthew Lindenberg (EID: mlind381) is having issues using the dashboard. He's getting the following error message. If he isn't already, he should be marked as an Admin. Can you take a look at this? Thanks

> When I try to log into the MLive dashboard this morning, I’m getting an error that admin credentials are needed","07/Mar/19 12:09 pm; eerkmen; @Alan Humphrey I got his access token from the db and used that to login and there seems to be no problem whatsoever. I think that was a temporary glitch as we are displaying that error if we fail to get a valid data from the API. If it's still not working properly, can you please ask them to do the usual routine, clear cache, refresh, etc.? I believe that should solve the problem. ","07/Mar/19 12:27 pm; ahumphrey; Ok thanks @Emre Erkmen. I'll let you know if he's still have issues after that. Will leave the ticket open until I hear back from him. Thanks","07/Mar/19 12:30 pm; ahumphrey; @Emre Erkmen he just responded and is getting this message now. Is this an issue on the Marriott side?:

![image](https://user-images.githubusercontent.com/35970545/53976331-cbec0d80-40d4-11e9-90de-66060d32902c.png)
","07/Mar/19 12:32 pm; eerkmen; Umm that is our SSO backend. @Andrei Pervychine should be notified about that.","11/Apr/19 9:08 am; ahumphrey; @Emre Erkmen looping back on this bug ticket above: https://github.com/MAARK/mar-mlive-dashboard/issues/239#issuecomment-470605997

You'll remember we have tried a number of different things to fix this, and we even jumped on a call with Matt. I can't recall where we left it after that call, but I believe you were going to loop back with @Andrei Pervychine. He just sent me a note and said he's still not able to get in to the dashboard. Obviously is something linked to his account as we're not getting the same issue with others. After we get the Current Events themes beta out, we need jump on this and try to find a resolution. Let me know if we need a regroup or need anything else from Matt. Thanks","11/Apr/19 9:17 am; ahumphrey; @Emre Erkmen can you also add the following person to the list of admins for the Current Events dashboard:
Brett Goldstein EID: bgold885","11/Apr/19 9:20 am; eerkmen; @Alan Humphrey user added to prod with admin privileges.","11/Apr/19 9:23 am; ahumphrey; @Emre Erkmen Great, thanks. Will let the client know.

Will leave the ticket open for the other note I posted earlier about Matt Lindenbergs issues logging into the dashboard. Thanks "
"Equalize Owned / Earned Feed and Timeline to Owned",brodanoel,eerkmen,Development,Highest,"@Noel Broda considering that we've added animations and some fixes to events social feed and earned, it'll be necessary to port them to the owned and earned screens as well.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Make dashboard timeframes adjustable by recipients",,ahumphrey,Development,Highest,"Creating a backlog ticket for this client request. It will have to be scoped out by the Maark team as part of a Phase 2 SOW (late 2018/early 2019).

Use case as stated by client is that recipients of dashboards want to see the data in different time periods (some may want to see last 24 hrs, some a custom time frame etc.), and it's not practical to set up multiple (dashboard) events for the same event.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Current Events: Review day-over-day percentage",mvanderhyde,mvanderhyde,Development,Highest,"MArriott via EMail: 
> Questions have arisen as to whether the day over day percentage is accurate on the Phoenix Dashboard for day over day.  Can you confirm?
> FYI - Earlier this morning it showed this screenshot.  Would this have been accurate for day over day?

<img width='1283' alt='screen shot 2018-12-01 at 10 05 14 am' src='https://user-images.githubusercontent.com/2657330/49329684-a2a96780-f550-11e8-8669-c48875da7c1c.png'>
","01/Dec/18 3:44 pm; eerkmen; @Mark Van Der Hyde as per https://github.com/MAARK/mar-mlive-dashboard/issues/249 we are calculating that number as the ratio between 12AM to now today and 12AM to now yesterday. In the screenshot, that ratio is (Nov 30th 00:00 - 07:00) / (Dev 1st 00:00 - 07:00), and seeing that the big jump has not hit yet at the same time yesterday, the number makes sense.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuurent Events: Review Newswhip column",mvanderhyde,mvanderhyde,Development,Highest,"Via Matthew via email:

>Also, please take a look at the NewsWhip column.  The three articles AND the predictive interactions numbers have stayed the exact same. 

<img width='1283' alt='screen shot 2018-12-01 at 10 05 14 am' src='https://user-images.githubusercontent.com/2657330/49329697-ddab9b00-f550-11e8-816a-1df3181b44c9.png'>
","01/Dec/18 11:01 am; eerkmen; @Mark Van Der Hyde that's because the event is configured to show data from all-time and the posts with the most predicted and actual scores have not changed. These are the most important articles all-time. That behaviour should be correct I believe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No data displaying for certain stories in NewsWhip widget on Current Events",ahumphrey,ahumphrey,Development,Highest,"@Emre Erkmen can you look into why some of the NewsWhip stories are displaying `0 predicted interactions 49 years ago`. Client just sent over an email and seems to be happening with the following events:
1. BONVOY + CO-BRAND CARD MENTIONS
2. OBOP LOYALTY MENTIONS

![image](https://user-images.githubusercontent.com/35970545/53049337-d8316300-3464-11e9-8e90-b5ece2cd563d.png)
","20/Feb/19 2:57 am; eerkmen; @Alan Humphrey that is because newswhip is passing us stories that have 0 predicted interactions which would have happened in 1969 (timestamp 0). The reason is probably that Newswhip don't have any recent metrics or couldn't yet make a prediction about them. But they are published nonetheless and the service is getting us the most recent stories per our query.

If you want those cases to be handled in a specific way (i.e. hide the predictions altogether if timestamp is 0, or display a message instead of the graph) please let me know. If we can handle this inside the update package rather than now, even better. :) (But can definitely get on that now, if needed. Should be pretty easy.)","20/Feb/19 9:11 am; ahumphrey; @Emre Erkmen thanks for the feedback. Is there a reason why it's displaying 1969 if there is no predicted interactions data? Seem a little odd to have that specific year showing. Also, for the NewsWhip widget we are only showing last 24 hours right?

Lastly, do you think you could send me a screenshot of what we're seeing on the backend for those stories they called out... showing 0 predicted interactions. That'll be helpful as they will most likely loop NewsWhip into the conversation. Thanks","20/Feb/19 9:23 am; eerkmen; Oh it's just because it corresponds to the UNIX timestamp of 0 (I said 1969, but it is actually 01-01-1970), which is what Newswhip is sending us. Like I said, we can just handle that ourselves.

Here's the JSON, note the `predicted_timestamp` attribute, which is what we're using for the date.

```json
{
    'delta_time': 0,
    'recent_fb_counts': 0,
    'recent_tw_counts': 0,
    'relatedStories': [],
    'fb_data': {
        'total_engagement_count': 0,
        'likes': 0,
        'comments': 0,
        'shares': 0,
        'total_count_delta': 0,
        'delta_period': 0,
        'delta_period_unit': 'm'
    },
    'tw_data': {
        'tw_count': 0,
        'total_count_delta': 0,
        'delta_period': 0,
        'delta_period_unit': 'm'
    },
    'li_data': {
        'li_count': 0,
        'total_count_delta': 0,
        'delta_period': 0,
        'delta_period_unit': 'm'
    },
    'pi_data': {
        'pi_count': 0,
        'delta_period': 0,
        'delta_period_unit': 'm'
    },
    'predicted_interactions': 0,
    'predicted_timestamp': 0,
    'uuid': '6e2d3850-34d0-11e9-a130-ed17744014d0',
    'publication_timestamp': 1550640541781,
    'link': 'https://thepointsguy.com/news/marriott-bonvoy-brilliant-amex-current-offer-pm/?pubid=aXxc37QyBTvAiAgGyUg--&adid=34789649632',
    'headline': 'Limited-Time 100k Bonus Available With the Marriott Bonvoy Brilliant Amex',
    'excerpt': 'This post contains references to products from one or more of our advertisers. We may receive compensation when you click on links to those products. For an explanation of our Advertising Policy, visit this page.',
    'keywords': '',
    'source': {
        'publisher': 'thepointsguy.com',
        'link': 'https://thepointsguy.com',
        'country': 'New Zealand',
        'country_code': 'nz'
    },
    'image_link': 'https://i1.wp.com/thepointsguy.com/wp-content/uploads/2017/01/fallback_image.jpg?fit=1280%2C1280px&ssl=1',
    'has_video': false,
    'nw_score': 0,
    'max_nw_score': 0,
    'topics': [],
    'authors': [
        'Sarah Silbert'
    ],
    'entities': [
        'our Advertising Policy'
    ]
}
```","26/Feb/19 10:47 am; ahumphrey; @Emre Erkmen presented options to client and they confirmed they want to remove any stories like the examples above that return results of '0' from the dashboard. I think we can include this in the Current Events updates you will be working on in about a week.","16/Apr/19 11:33 am; eerkmen; @Alan Humphrey almost forgot this. This will be in the next deploy to staging.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Add 5th news category to NewsWhip dashboard",,ahumphrey,Development,Highest,"Client would like to add a new feed to the NewsWhip dashboard. This won't be an out of the box feed like the others. The M Live team will work with NewsWhip to set up a Marriott specific feed that we would have to pull in and display the top 4 stories in a new 5th news category. 

Requires scoping estimate from Dev.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Backend changes to allow use of Sprinklr Themes",ahumphrey,ahumphrey,Development,Highest,"Setting up a ticket for the backend work we need to do to allow us to ingest and use Sprinklr Themes for event creation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JIRA test issue",rwagner,rwagner,Development,Highest,"MARMLIVE-1 #time 1w 2d 4h 30m Total work logged","26/Feb/19 2:31 pm; rwagner; MARMLIVE-1 #time 1w 2d 4h 30m Total work logged2","26/Feb/19 2:51 pm; rwagner; MMC-1 #time 1w 2d 4h 30m Total work logged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Check Sprinklr access token refresh mechanism",eerkmen,eerkmen,Development,Highest,"Our access token sometimes becomes invalidated. Check the refresh mechanism on the backend for that.","16/Apr/19 11:00 am; eerkmen; We've changed Sprinklr access token refresh mechanism to a more robust one based on a cronjob. We'll be requesting a new access token on every 4AM of every day. This will only happen on production as refreshing a token invalidates all the previous ones and we're using the same credentials for all servers (due to the privileges associated to the prod user.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
